,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Abu Samrah,35.3,37.18,20.05,29,0,0.73,SY,1602439376
1,Acapulco de Juárez,16.86,-99.89,29.0,74,75,1.0,MX,1602439309
2,Aden,12.78,45.04,29.17,63,0,4.07,YE,1602439294
3,Airai,-8.93,125.41,15.0,81,68,1.5,TL,1602439345
4,Aklavik,68.22,-135.01,-3.0,86,75,6.7,CA,1602439430
5,Albany,42.6,-73.97,14.44,46,90,3.27,US,1602439366
6,Ambon City,-3.7,128.18,26.11,14,99,3.96,ID,1602439366
7,Ancud,-41.87,-73.82,18.33,62,0,3.1,CL,1602439371
8,Anloga,5.79,0.9,26.0,88,40,4.1,GH,1602439243
9,Arraial do Cabo,-22.97,-42.03,24.0,50,75,5.1,BR,1602439358
10,Arrondissement de Blois,47.58,1.33,11.11,93,20,3.79,FR,1602439348
11,Asamankese,5.86,-0.66,26.0,83,20,6.2,GH,1602439417
12,Aswān,24.09,32.91,33.4,20,0,6.57,EG,1602439479
13,Asău,46.43,26.4,12.78,98,65,0.36,RO,1602439354
14,Atuona,-9.8,-139.03,25.63,73,23,10.34,PF,1602439388
15,Avarua,-21.21,-159.78,22.0,94,20,1.0,CK,1602439256
16,Bagan,54.1,77.66,5.61,92,97,2.72,RU,1602439404
17,Bakchar,57.02,82.07,3.89,97,100,2.83,RU,1602439441
18,Balaguer,41.79,0.81,16.11,47,20,8.2,ES,1602439372
19,Bambous Virieux,-20.34,57.76,24.0,83,75,3.1,MU,1602439467
20,Barrow,71.29,-156.79,-4.0,68,90,7.2,US,1602439349
21,Batagay-Alyta,67.8,130.41,-10.19,86,25,0.61,RU,1602439361
22,Baykit,61.67,96.37,-5.13,90,31,0.88,RU,1602439222
23,Beaucaire,43.81,4.64,13.0,50,1,7.7,FR,1602439487
24,Bengkulu,-3.8,102.27,24.77,87,100,2.06,ID,1602439240
25,Bermeo,43.42,-2.72,13.0,93,75,2.6,ES,1602439375
26,Bethel,41.37,-73.41,18.33,52,75,3.6,US,1602439280
27,Biak,-0.91,122.88,24.11,74,94,3.27,ID,1602439422
28,Bilibino,68.05,166.44,-11.06,92,23,0.72,RU,1602439378
29,Biloela,-24.42,150.5,17.93,83,100,1.67,AU,1602439397
30,Birao,10.28,22.79,26.33,73,43,0.72,CF,1602439420
31,Birjand,32.87,59.22,9.0,14,0,5.1,IR,1602439485
32,Bluff,-46.6,168.33,10.56,92,81,1.79,NZ,1602439256
33,Bonavista,48.65,-53.11,17.22,76,99,3.58,CA,1602439245
34,Bouna,9.27,-3.0,24.71,87,76,1.9,CI,1602439409
35,Bredasdorp,-34.53,20.04,14.0,67,74,7.2,ZA,1602439316
36,Buala,-8.14,159.59,26.62,82,68,2.26,SB,1602439385
37,Burgeo,47.62,-57.62,9.43,74,93,10.04,CA,1602439245
38,Busselton,-33.65,115.33,10.0,75,0,3.06,AU,1602439347
39,Butaritari,3.07,172.79,27.11,74,2,5.99,KI,1602439376
40,Camacha,33.08,-16.33,22.0,64,40,5.1,PT,1602439376
41,Camacupa,-12.02,17.48,23.94,34,10,1.89,AO,1602439347
42,Camopi,3.17,-52.32,37.61,24,73,1.6,GF,1602439394
43,Cap-aux-Meules,47.38,-61.86,6.0,67,75,11.3,CA,1602439391
44,Cape Town,-33.93,18.42,16.67,72,84,4.1,ZA,1602439177
45,Carnarvon,-24.87,113.63,19.0,88,75,8.2,AU,1602439206
46,Castro,-24.79,-50.01,22.84,48,6,1.89,BR,1602439354
47,Causapscal,48.35,-67.23,6.11,57,23,6.06,CA,1602439485
48,Cherskiy,68.75,161.3,-7.23,94,59,3.42,RU,1602439223
49,Chokurdakh,70.63,147.92,-8.01,95,68,1.93,RU,1602439222
50,Chui,-33.7,-53.46,19.55,57,13,4.98,UY,1602439418
51,Cidreira,-30.18,-50.21,19.54,68,0,7.75,BR,1602439450
52,Clyde River,70.47,-68.59,-1.0,86,90,3.1,CA,1602439245
53,Codrington,-38.27,141.97,7.45,91,7,3.17,AU,1602439345
54,Conakry,9.54,-13.68,28.0,83,75,1.0,GN,1602439369
55,Constitución,-35.33,-72.42,18.23,48,0,6.98,CL,1602439420
56,Coquimbo,-29.95,-71.34,14.0,82,90,4.6,CL,1602439420
57,Corrente,-3.74,-43.34,38.58,21,1,2.48,BR,1602439428
58,Coyhaique,-45.58,-72.07,11.0,53,75,5.7,CL,1602439394
59,Daşoguz,41.84,59.97,10.0,37,0,4.1,TM,1602439319
60,Deputatsky,69.3,139.9,-10.15,98,98,0.91,RU,1602439357
61,Dicabisagan,17.08,122.42,25.85,87,100,3.81,PH,1602439503
62,Dāmghān,36.17,54.35,13.41,37,0,0.72,IR,1602439424
63,East London,-33.02,27.91,15.0,58,20,1.5,ZA,1602439316
64,Ekhabi,53.51,142.97,8.83,77,100,7.26,RU,1602439445
65,El Alto,-4.27,-81.21,22.76,67,55,8.2,PE,1602439403
66,El Corpus,14.7,-88.92,30.15,50,5,1.59,HN,1602439357
67,Erciş,39.03,43.36,11.0,57,40,0.38,TR,1602439430
68,Esperance,-33.87,121.9,9.0,100,0,1.5,AU,1602439256
69,Estelle,29.85,-90.11,30.56,67,0,1.34,US,1602439191
70,Faanui,-16.48,-151.75,25.81,80,56,8.22,PF,1602439256
71,Fairview,40.81,-74.0,19.44,55,90,2.1,US,1602439393
72,Faya,18.39,42.45,22.0,15,2,4.1,SA,1602439479
73,Fort-Shevchenko,44.51,50.26,15.98,33,0,12.2,KZ,1602439501
74,George Town,5.41,100.34,27.0,88,20,1.0,MY,1602439203
75,Geraldton,-28.77,114.6,14.0,87,19,3.1,AU,1602439402
76,Grand-Santi,4.25,-54.38,36.92,28,19,1.89,GF,1602439495
77,Gravdal,68.12,13.5,8.0,81,75,5.1,NO,1602439497
78,Grindavik,63.84,-22.43,8.0,87,90,2.6,IS,1602439460
79,Guerrero Negro,27.98,-114.06,24.65,58,2,6.43,MX,1602439353
80,Gwadar,25.12,62.33,28.37,45,0,3.11,PK,1602439379
81,Haines Junction,60.75,-137.51,3.0,79,100,0.54,CA,1602439505
82,Half Moon Bay,37.46,-122.43,21.11,64,1,2.83,US,1602439360
83,Hambantota,6.12,81.12,26.92,78,99,8.31,LK,1602439206
84,Hasaki,35.73,140.83,19.0,93,75,5.1,JP,1602439262
85,Hauterive,46.09,3.45,9.0,81,75,1.5,FR,1602439438
86,Hay River,60.82,-115.8,3.0,82,75,3.1,CA,1602439475
87,Hendersonville,36.3,-86.62,22.0,83,90,3.1,US,1602439361
88,Hermanus,-34.42,19.23,13.89,71,99,1.34,ZA,1602439354
89,Hilo,19.73,-155.09,22.0,60,90,2.6,US,1602439255
90,Hithadhoo,-0.6,73.08,27.68,79,96,5.74,MV,1602439202
91,Hobart,-42.88,147.33,7.0,93,10,3.6,AU,1602439353
92,Hualmay,-11.1,-77.61,21.11,64,4,4.46,PE,1602439416
93,Igarka,67.47,86.58,-5.46,97,100,7.34,RU,1602439382
94,Iida,35.52,137.82,16.11,100,77,1.19,JP,1602439234
95,Ilulissat,69.22,-51.1,5.0,75,76,8.2,GL,1602439397
96,Inhambane,-23.86,35.38,20.0,88,75,4.1,MZ,1602439375
97,Inyonga,-6.72,32.07,26.28,41,66,0.79,TZ,1602439490
98,Inírida,3.87,-67.92,34.73,43,37,1.45,CO,1602439434
99,Iqaluit,63.75,-68.51,4.0,80,75,7.2,CA,1602439297
100,Iquique,-20.22,-70.14,20.0,60,35,4.1,CL,1602439378
101,Isangel,-19.55,169.27,24.35,83,28,6.79,VU,1602439390
102,Itacarambi,-15.1,-44.09,26.05,68,70,6.42,BR,1602439359
103,Itarema,-2.92,-39.92,29.59,59,22,7.0,BR,1602439436
104,Ixtapa,20.7,-105.2,32.22,62,20,2.6,MX,1602439353
105,Jamestown,42.1,-79.24,18.89,63,1,3.1,US,1602439355
106,Janakpur Dham,26.72,85.91,23.93,76,0,0.74,NP,1602439206
107,Kahului,20.89,-156.47,25.0,73,1,1.5,US,1602439087
108,Kaitangata,-46.28,169.85,12.22,73,66,2.68,NZ,1602439440
109,Kamaishi,39.27,141.88,17.78,89,100,3.54,JP,1602439225
110,Kamenka,51.32,42.77,12.22,41,100,6.36,RU,1602439490
111,Kapaa,22.08,-159.32,25.0,88,75,4.41,US,1602439322
112,Karema,-6.82,30.44,24.29,71,94,2.33,TZ,1602439490
113,Kargopol',61.51,38.95,9.8,98,100,1.4,RU,1602439222
114,Karpogory,64.0,44.45,7.68,92,100,1.41,RU,1602439222
115,Katobu,-4.94,122.53,23.6,87,97,1.74,ID,1602439419
116,Kavieng,-2.57,150.8,27.54,80,76,4.41,PG,1602439349
117,Keetmanshoop,-26.58,18.13,18.51,23,2,3.75,NA,1602439457
118,Keningau,5.34,116.16,26.0,83,20,1.5,MY,1602439410
119,Khatanga,71.97,102.5,-5.16,98,100,5.94,RU,1602439384
120,Kibondo,-3.59,30.72,17.68,92,68,1.7,TZ,1602439325
121,Killybegs,54.63,-8.45,12.0,76,72,0.5,IE,1602439407
122,Korla,41.76,86.15,8.52,48,97,1.01,CN,1602439236
123,Kruisfontein,-34.0,24.73,13.89,75,40,1.34,ZA,1602439244
124,Kudahuvadhoo,2.67,72.89,28.38,76,97,7.23,MV,1602439204
125,Kumano,34.34,132.59,19.44,72,75,3.6,JP,1602439479
126,Kumul,42.8,93.45,5.97,50,0,2.77,CN,1602439246
127,La Libertad,-2.23,-80.9,26.0,69,75,3.1,EC,1602439303
128,La Rioja,42.25,-2.5,11.67,81,40,3.6,ES,1602439296
129,Lagoa,39.05,-27.98,19.99,76,14,7.8,PT,1602439439
130,Lake Cowichan,48.83,-124.05,9.44,93,90,1.0,CA,1602439368
131,Lavrentiya,65.58,-171.0,1.44,87,56,5.93,RU,1602439460
132,Le Port,-20.94,55.29,23.0,73,22,5.1,RE,1602439353
133,Lebu,-37.62,-73.65,12.9,58,0,10.19,CL,1602439361
134,Leningradskiy,69.38,178.42,-1.17,98,100,1.32,RU,1602439415
135,Lomas de Sargentillo,-1.88,-80.08,30.0,55,20,4.1,EC,1602439359
136,Lompoc,34.64,-120.46,20.0,72,1,1.5,US,1602439343
137,Longyearbyen,78.22,15.64,-5.0,79,40,1.0,SJ,1602439444
138,Lorengau,-2.02,147.27,27.3,83,100,4.6,PG,1602439346
139,Lüderitz,-26.65,15.16,19.85,34,3,10.47,NA,1602439344
140,Malé,4.17,73.51,27.89,79,84,7.77,MV,1602439265
141,Maningrida,-12.07,134.27,23.47,78,9,3.21,AU,1602439493
142,Mar del Plata,-38.0,-57.56,11.11,100,90,6.2,AR,1602439296
143,Mastic Beach,40.77,-72.85,19.0,55,90,3.6,US,1602439499
144,Masuguru,-11.37,38.42,29.27,52,13,5.61,TZ,1602439411
145,Mataura,-46.19,168.86,10.56,92,88,1.79,NZ,1602439347
146,Mikhaylovsk,45.13,42.03,14.0,67,100,4.0,RU,1602439392
147,Mildura,-34.2,142.15,10.0,76,0,4.26,AU,1602439206
148,Moerai,-22.43,-151.33,24.58,80,19,5.42,PF,1602439464
149,Mogadishu,2.04,45.34,26.3,82,1,5.43,SO,1602439449
150,Mount Gambier,-37.83,140.77,9.0,87,50,4.1,AU,1602439502
151,Nabire,-3.37,135.48,24.31,89,100,1.66,ID,1602439363
152,Nambucca Heads,-30.65,153.0,15.0,87,75,1.57,AU,1602439470
153,Narsaq,60.92,-46.05,5.0,86,100,4.12,GL,1602439404
154,Neiafu,-18.65,-173.98,23.0,83,40,6.7,TO,1602439378
155,Nemuro,43.32,145.57,13.52,86,92,6.04,JP,1602439469
156,New Norfolk,-42.78,147.06,5.56,89,21,1.23,AU,1602439428
157,Ninghai,29.29,121.42,18.33,93,20,1.0,CN,1602439457
158,Norman Wells,65.28,-126.83,0.0,96,90,1.5,CA,1602439469
159,Noumea,-22.28,166.46,24.44,100,29,1.5,NC,1602438902
160,Nsanje,-16.92,35.26,25.72,70,98,4.04,MW,1602439367
161,Nuevitas,21.55,-77.26,32.0,62,40,3.6,CU,1602439349
162,Oktyabr'skoye,43.06,44.74,11.0,87,55,2.0,RU,1602439418
163,Ola,59.58,151.28,1.82,79,87,1.74,RU,1602439473
164,Ossora,59.24,163.07,0.08,90,0,2.16,RU,1602439362
165,Oyama,36.3,139.8,20.56,93,75,3.6,JP,1602439376
166,Paamiut,61.99,-49.67,3.69,85,98,12.09,GL,1602439213
167,Padang,-0.95,100.35,25.57,79,100,2.25,ID,1602439366
168,Palmer,42.16,-72.33,17.22,39,75,4.6,US,1602439427
169,Pangnirtung,66.15,-65.71,3.0,86,75,1.0,CA,1602439411
170,Pavlovka,52.69,47.14,9.27,47,84,4.35,RU,1602439480
171,Payakumbuh,-0.22,100.63,22.28,86,100,1.09,ID,1602439463
172,Peleduy,59.63,112.74,-2.81,85,95,1.5,RU,1602439501
173,Petropavlovsk-Kamchatskiy,53.05,158.65,-2.0,63,0,4.0,RU,1602439227
174,Plettenberg Bay,-34.05,23.37,13.28,75,8,5.31,ZA,1602439439
175,Ponta do Sol,32.67,-17.1,22.22,68,40,8.2,PT,1602439352
176,Port Alberni,49.24,-124.8,7.78,82,100,1.76,CA,1602439422
177,Port Alfred,-33.59,26.89,13.52,61,43,2.89,ZA,1602439346
178,Port Elizabeth,-33.92,25.57,14.0,76,75,1.5,ZA,1602439316
179,Port Lincoln,-34.73,135.87,19.72,43,100,6.59,AU,1602439440
180,Porto-Novo,6.5,2.6,27.0,88,40,5.1,BJ,1602439297
181,Poum,-20.23,164.02,24.43,81,17,5.76,NC,1602439368
182,Provideniya,64.38,-173.3,1.67,88,100,5.51,RU,1602439393
183,Puerto Ayora,-0.74,-90.35,25.0,65,40,6.2,EC,1602439355
184,Punta Arenas,-53.15,-70.92,13.0,50,30,17.0,CL,1602439344
185,Qaanaaq,77.48,-69.36,-0.57,85,59,3.21,GL,1602439375
186,Qaqortoq,60.72,-46.03,5.0,86,100,5.27,GL,1602439393
187,Raudeberg,61.99,5.14,8.89,85,77,6.59,NO,1602439446
188,Requena,39.49,-1.1,16.67,33,0,0.45,ES,1602439385
189,Ribeira Grande,38.52,-28.7,20.0,88,75,3.6,PT,1602439298
190,Rikitea,-23.12,-134.97,23.04,79,0,5.28,PF,1602439256
191,Rocha,-34.48,-54.33,19.4,63,66,5.34,UY,1602439489
192,Ruska Poliana,49.42,31.92,14.14,75,56,0.59,UA,1602439378
193,Rzhaksa,52.13,42.03,11.89,42,100,5.76,RU,1602439403
194,Sabla,12.75,4.71,31.86,40,13,3.21,NG,1602439458
195,Saint Anthony,45.02,-93.22,17.22,58,40,7.2,US,1602439356
196,Saint George,37.1,-113.58,26.11,20,1,3.74,US,1602439321
197,Saint Paul Harbor,57.79,-152.41,-1.0,92,1,3.6,US,1602439400
198,Saint-Augustin,51.23,-58.65,2.69,80,99,9.26,CA,1602439393
199,Saint-Joseph,-21.37,55.62,24.0,78,75,1.5,RE,1602439351
200,Saint-Philippe,-21.36,55.77,24.0,78,75,1.5,RE,1602439368
